ztf_id,if_score,if_outlier
ZTF18acsxwdi,0.046280538535150795,1
ZTF18acsyanq,0.08173332099705444,1
ZTF18acslbve,0.1143789331851014,1
ZTF18acszaiy,0.03916749541165654,1
ZTF18acurlbj,0.09502643888083295,1
ZTF18acuqskr,0.12120684814048094,1
ZTF18acvgjqv,0.09052225356783505,1
ZTF18acvwmpw,0.08925010696893948,1
ZTF18acusrws,0.051641829214980395,1
ZTF18acvwbos,0.06896904019632027,1
ZTF18acvguyi,0.0699990716517388,1
ZTF18acwutbr,0.037322917742746486,1
ZTF18acwwonp,0.0726055241340745,1
ZTF18aczdetm,-0.0036215489410793555,-1
ZTF18acybdar,0.09991985850135482,1
ZTF18acyxnyw,0.11438360261054281,1
ZTF18acxyarg,0.06866059972406902,1
ZTF18aczeesl,-0.008385129094348187,-1
ZTF19aacjbsj,-0.038674075072075986,-1
ZTF18aczqzrj,0.11933794635855521,1
ZTF18adalarn,0.045559392639776264,1
ZTF18adazgdh,0.06781709430030469,1
ZTF18adazblo,0.10440001144475514,1
ZTF19aaadwfi,0.1229221568321689,1
ZTF18aczuooo,0.05785805595664406,1
ZTF18abvmlow,-0.05376017022379975,-1
ZTF18adasisj,0.11506846565040546,1
ZTF18adbntwo,0.10665496873396246,1
ZTF18adbmrug,0.11250103652394666,1
ZTF18adbmbpa,-0.03332977833203199,-1
ZTF19aaairqh,0.05126675529604924,1
ZTF19aabyheu,0.05518917147247038,1
ZTF19aabyppp,0.001962383493632036,1
ZTF19aadgimr,0.027133990007386477,1
ZTF19aacgslb,-0.09165132620000882,-1
ZTF19aacivvy,0.01904516003266571,1
ZTF19aadnxat,-0.020189439783894536,-1
ZTF19aabyuze,0.039499602580071846,1
ZTF19aadnxog,0.038314558506376384,1
ZTF19aadyppr,0.0432811881058322,1
ZTF18adbacau,0.11057784220567057,1
ZTF19aadooun,0.04913986495478723,1
ZTF19aaeoqst,0.04118670749108616,1
ZTF19aafljiq,0.058893746829868865,1
ZTF19aagmsrr,-0.022440703653113236,-1
ZTF19aailepg,0.04419624827682106,1
ZTF19aakirwj,0.06346030581880963,1
ZTF19aailqli,0.1077015989907048,1
ZTF19aakiyly,0.10861152395687895,1
ZTF19aamowaf,0.11963596409138105,1
ZTF19aajxwnz,-0.0843725489176953,-1
ZTF19aailltc,0.0846992836180469,1
ZTF19aakiwxx,0.1056040207090827,1
ZTF19aakiyed,0.0884670811254008,1
ZTF19aaksxgp,0.10509145457665076,1
ZTF19aakpcuw,0.06697352158020548,1
ZTF19aaknate,0.06088293973682929,1
ZTF19aaksrgj,0.1306853376624551,1
ZTF19aalcyfd,0.0800549746760904,1
ZTF19aaleptm,0.11376989577423374,1
ZTF19aaloqmd,0.12151611826345693,1
ZTF19aafmyow,0.00806718800622419,1
ZTF19aakzwao,0.04784662270041462,1
ZTF19aalzmmt,0.12029817511945562,1
ZTF19aalouag,0.12551689305905905,1
ZTF19aalsnbp,0.08201185881020306,1
ZTF19aalzmio,0.12367386269423147,1
ZTF19aamhmsx,0.10925233718381511,1
ZTF19aamjvie,0.06550796939267012,1
ZTF19aamfxby,0.12213948325933738,1
ZTF19aamgghn,0.11764385323521459,1
ZTF19aamhhyo,0.07600456679509138,1
ZTF19aamhhae,0.10787218107305646,1
ZTF19aamhhey,0.09673324972903197,1
ZTF19aamhhgu,0.08433902787897524,1
ZTF19aamkmxv,0.06695443936687778,1
ZTF19aamljom,0.06627483213828156,1
ZTF19aamqlyl,0.08421752185245479,1
ZTF19aamhgwm,0.11670714666902832,1
ZTF19aanbfaw,0.13243081431111792,1
ZTF19aamsetj,0.07949569306577403,1
