ztf_id,label,redshift,if_anomaly,ae_anomaly,ocsvm_anomaly,ensemble_score,dq_risk,likely_bogus,final_score,final_rank,dq_total_points,dq_g_frac,dq_r_frac,dq_span,dq_max_gap,dq_median_gap,dq_frac_imputed,dq_log_n,dq_sampling_density
ZTF19acdgwhq,SN Ia,0.02859,0.18753543949429974,0.039011936069032374,0.17436989274158565,0.13363908943497257,0.02739030675031245,False,0.1318088816082444,1196.0,24,0.4166666666666667,0.5833333333333334,55.896145899780095,10.95612270012498,1.991249999962747,0.0,1.380211241711606,0.4293677070871968
ZTF18aasdted,SN Ia,0.01815,0.348634900099266,0.06284189622815996,0.2823673131642894,0.2312813698305718,0.10003758674953132,False,0.21971295478158365,299.0,66,0.5,0.5,160.80192130012438,40.01503469981253,2.8973611001856625,0.0,1.8195439355418688,0.4104428570652218
ZTF18aaumeys,SN Ia-91T,0.03754,0.17906963556621125,0.033899500679019805,0.2303026303532767,0.14775725553283592,0.039837239499902345,False,0.144814134944581,970.0,26,0.3846153846153846,0.6153846153846154,80.87539349962026,15.93489579996094,2.958819499704987,0.0,1.414973347970818,0.32148220707108
ZTF18aaunfqq,SN Ia,0.07109,0.1420399751204413,0.0297272819021783,0.31087503973423947,0.1608807655856197,0.07015732075087726,False,0.1552372838487012,812.0,15,0.3333333333333333,0.6666666666666666,26.9751388002187,3.0629283003509045,2.901730349985882,0.0,1.1760912590556811,0.5560675743354614
ZTF18aasxvsg,SN II,0.0248,0.31158602801522406,0.12282050574261885,0.45660001890800506,0.2970021842219493,0.03262118074926549,False,0.29215790325473384,113.0,19,0.3157894736842105,0.6842105263157895,39.03093749983236,8.04847229970619,1.925897000124678,0.0,1.2787536009528289,0.4867933290119307
ZTF18aavqdyq,SN II,0.026,0.22427862778192775,0.05466671340797463,0.2700078363603571,0.18298439251675314,0.05447453700006009,True,0.08900019874322972,2231.0,32,0.375,0.625,115.73804400023072,21.789814800024036,2.9989004996605217,0.0,1.505149978319906,0.2764864420893116
ZTF18aavrwhu,SN Ia,0.062,0.08688810526095603,0.020355031741402553,0.21518406978978533,0.10747573559738129,0.03509904500097036,False,0.10558958775725885,1795.0,20,0.4,0.6,53.04510410036892,14.039618000388144,2.940960600040853,0.0,1.3010299956639813,0.3770376237203181
ZTF18aaxcntm,SN Ia,0.02679,0.1908354303538503,0.008243548692051156,0.19579125264790687,0.13162341056460278,0.03747482625069097,False,0.12915712834388685,1234.0,32,0.4375,0.5625,101.94767360016704,14.989930500276389,2.975069399923086,0.0,1.505149978319906,0.313886515208794
ZTF18aawyjjq,SN II,0.04,0.10796563949245686,0.04030679751100875,0.16692740027547248,0.1050666124263127,0.04469548625056632,False,0.10271861076076577,1857.0,51,0.2745098039215686,0.7254901960784313,108.82571760006248,17.878194500226527,1.4513020999729631,0.0,1.7075701760979365,0.4686392254028262
ZTF18aaxdrjn,SN Ia,0.0339,0.10143637007115813,0.03945781446749873,0.17678456342894833,0.10589291598920174,0.015052401499124244,False,0.10509594464551049,1807.0,34,0.3823529411764705,0.6176470588235294,43.02238419977948,6.0209605996496975,0.0217476999387145,0.0,1.5314789170422551,0.7902862807908789
ZTF18aaxiuyp,SN Ic,0.0303,0.10143130083156116,0.010708735651198708,0.17658833139163221,0.09624278929146401,0.09985413775080815,False,0.09143766892174808,2169.0,15,0.3333333333333333,0.6666666666666666,44.85111110005528,14.94165510032326,2.938292850041762,0.0,1.1760912590556811,0.3344398752248863
ZTF18aaxsioa,SN Ia,0.03,0.24625594806672546,0.006463267006320475,0.22645465326144132,0.15972462277816243,0.01969852450070903,False,0.15815145308058137,766.0,41,0.4390243902439024,0.5609756097560976,95.94071759982036,7.879409800283611,2.9323090000543743,0.0,1.6127838567197357,0.4273472309329149
ZTF18aayjvve,SN Ia,0.04727,0.19956658776916059,0.04105715228232995,0.2532937317100631,0.16463915725385123,0.024926591499242933,False,0.16258721074502805,712.0,24,0.375,0.625,76.90377310011536,9.970636599697173,3.004305500071496,0.0,1.380211241711606,0.3120783159592984
