ztf_id,ocsvm_score,ocsvm_outlier
ZTF19acdgwhq,13.19126431845715,1
ZTF18aasdted,6.301999519853929,1
ZTF18aaumeys,9.623258353041273,1
ZTF18aaunfqq,4.4834627772367455,1
ZTF18aasxvsg,-4.812481194106091,-1
ZTF18aavqdyq,7.090423059427508,1
ZTF18aavrwhu,10.587686639272043,1
ZTF18aaxcntm,11.8247740804199,1
ZTF18aawyjjq,13.666028448563019,1
ZTF18aaxdrjn,13.037230030401417,1
ZTF18aaxiuyp,13.049747870751204,1
ZTF18aaxsioa,9.868724707893577,1
ZTF18aayjvve,8.156632718480012,1
ZTF18aayjyub,16.533842330020533,1
ZTF18aaxvpsw,9.902795201679304,1
ZTF18aaykjei,16.66026349657936,1
ZTF18aaxwjmp,8.258236401955472,1
ZTF18aaydmkh,8.678148352507108,1
ZTF19aanbojt,0.5427928323631122,1
ZTF18aaytovs,17.455597251780617,1
ZTF18aazixbw,12.172307381609869,1
ZTF18aazjztm,7.933720677639535,1
ZTF18aazsabq,15.83782556729907,1
ZTF18aaxkjmm,11.979636154382597,1
ZTF18abauprj,7.998432458729752,1
ZTF18abaxlpi,9.871870582964618,1
ZTF18abbpeqo,12.676283564731932,1
ZTF18abckutn,10.846038416983525,1
ZTF18abclfee,8.172006258604256,1
ZTF18abcezmh,13.228376167557954,1
ZTF18abcsgvj,6.531008382748581,1
ZTF18abceakp,-6.081009614364405,-1
ZTF18abcpmwh,-14.432325030620131,-1
ZTF18abcptmt,15.300535480069875,1
ZTF18abcrxoj,12.85730062567967,1
ZTF18abcflnz,7.9306149223267255,1
ZTF18abdfwur,17.2057496341547,1
ZTF18abdbuty,12.715958747814767,1
ZTF18abdbysy,-2.514476461147673,-1
ZTF18abdiwpt,18.634340358626027,1
ZTF18abdkimx,15.874003102201854,1
ZTF18abdrmin,8.167557386898721,1
ZTF18abecbks,13.923577795077243,1
ZTF18abcfdzu,8.504949897586116,1
ZTF18abeajml,13.929488465610739,1
ZTF18abetehf,12.479415660959937,1
ZTF18abetewu,10.86872067312273,1
ZTF18ablrljh,16.85662358709289,1
ZTF18abeecwe,13.460886179686746,1
ZTF18abfgygp,14.403353508988246,1
ZTF18abdkkwa,17.154522284680375,1
ZTF18abfhryc,17.3406012534767,1
ZTF18abffyqp,10.555929486826003,1
ZTF18abixkjh,3.8565558995193214,1
ZTF18aailmnv,12.49061743403093,1
ZTF18abfzhct,14.92830018030186,1
ZTF18abfzixe,4.719656119167851,1
ZTF18abgmcmv,13.310317305146405,1
ZTF18abfzfcv,17.474122677485482,1
ZTF18aawurud,18.417707392414222,1
ZTF18abeyqpr,12.663134413229685,1
ZTF18abjgyyr,11.044778582680117,1
ZTF18abimsyv,13.417513859876962,1
ZTF18abjvhec,4.654144344750108,1
ZTF18abjrfqx,9.583554263017867,1
ZTF22aamjqvc,21.51306573356343,1
ZTF18abkhcwl,9.544154020200558,1
ZTF18abkhcrj,18.17277993449381,1
ZTF18abjtgdo,3.87046835771136,1
ZTF18ablhvfr,14.166778645013956,1
ZTF18aasprui,-11.480237419048319,-1
ZTF18ablongw,13.811014102378074,1
ZTF18ablqlzp,8.667930328685841,1
ZTF18abmmdif,12.045177873806722,1
ZTF18abltaxf,2.9330155968608764,1
ZTF18abmoung,-0.00024487925576721636,-1
ZTF18abltfho,8.043727946151456,1
ZTF18abmkaps,9.236739697759333,1
ZTF18abmxdhb,14.59196883356163,1
ZTF18abobkii,14.842657696796586,1
ZTF18abokpvh,4.766171381522923,1
ZTF18abntsgz,18.298831226393062,1
ZTF18abnxhmc,12.229572056869983,1
ZTF18abmwnov,16.525600560879738,1
ZTF18abokyfk,17.08717274762087,1
ZTF18abpaywm,19.703051804088958,1
ZTF18abqlpgq,8.532811782584517,1
ZTF18abquher,12.640469834370855,1
ZTF18abpamut,1.6563245856779005,1
ZTF18abpmmpo,6.222361925298628,1
ZTF18abojpnr,6.322515012572417,1
ZTF18abrlljc,5.73218082518207,1
ZTF20acfkzcg,1.1738534342799554,1
ZTF18abrzeym,10.335797202068633,1
ZTF18abqyvzy,17.48552110200132,1
ZTF18acgvgiq,4.024022063365116,1
ZTF18absdgon,3.382749714251311,1
ZTF18absspcp,10.829197472236594,1
ZTF18abvptts,10.180343716224897,1
ZTF18abzrgim,6.977722193272001,1
ZTF18acbwaxk,-39.47651619277659,-1
ZTF18abxbmqh,8.118728328476742,1
ZTF18acbxsge,-4.2610029978160355,-1
ZTF18aaklpdo,11.632064078164994,1
ZTF18acbzvpg,15.342638527029969,1
ZTF18acclexy,0.4213913443737738,1
ZTF18accndxn,17.00564132801491,1
ZTF18acebssa,15.07691432141587,1
ZTF18acefuhk,13.371125662601045,1
ZTF18acfwmqj,12.303639561205202,1
ZTF18acnbeuu,9.893520457774983,1
ZTF18achtnvk,9.774225571797857,1
ZTF18acnmifq,12.171236769177419,1
ZTF18acnbgpw,11.478023409111678,1
ZTF18acdvvgx,11.752724307407576,1
ZTF18acnnevs,8.534318535334563,1
ZTF18acqtjcz,4.555135067151383,1
ZTF18acqwdla,9.94444453888621,1
ZTF18acqqyah,-4.187351573986604,-1
ZTF18acqsfxh,6.896783336507525,1
ZTF18acrdmmw,13.26037059667415,1
ZTF18acrtvmm,10.01022758446532,1
ZTF18acrxppd,4.8111106996808815,1
ZTF18acszayr,14.23361396759337,1
ZTF18acsxwdi,-0.00044231183276366437,-1
ZTF18acsyanq,-1.2658903813189681e-05,-1
ZTF18acslbve,9.367911918328431,1
ZTF18acszaiy,5.064365500709052,1
ZTF18acurlbj,7.583287974398814,1
ZTF18acuqskr,9.82731225834955,1
ZTF18acvgjqv,17.77914337185701,1
ZTF18acvwmpw,15.294028181463887,1
ZTF18acusrws,11.091188130957931,1
ZTF18acvwbos,13.39687361082153,1
ZTF18acvguyi,20.155842033294427,1
ZTF18acwutbr,8.225558713851761,1
ZTF18acwwonp,10.391258612547091,1
ZTF18aczdetm,5.494891274713403,1
ZTF18acybdar,13.714458125778812,1
ZTF18acyxnyw,17.775288004460897,1
ZTF18acxyarg,8.310137559720282,1
ZTF18aczeesl,-3.615333814052036,-1
ZTF19aacjbsj,-8.639213478221812,-1
ZTF18aczqzrj,15.100017813356722,1
ZTF18adalarn,9.419212665658364,1
ZTF18adazgdh,6.244711828702627,1
ZTF18adazblo,10.506922013298748,1
ZTF19aaadwfi,14.835614350434383,1
ZTF18aczuooo,5.316489701592488,1
ZTF18abvmlow,-8.469147399929184,-1
ZTF18adasisj,15.871928997522232,1
ZTF18adbntwo,13.25931341638443,1
ZTF18adbmrug,16.18347499579773,1
ZTF18adbmbpa,-13.727563788718978,-1
ZTF19aaairqh,13.12799728313334,1
ZTF19aabyheu,12.910999761476205,1
ZTF19aabyppp,-3.403317779948189,-1
ZTF19aadgimr,14.882763828761057,1
ZTF19aacgslb,-8.371047385143804,-1
ZTF19aacivvy,0.0002834183067719209,1
ZTF19aadnxat,-5.014209551995108,-1
ZTF19aabyuze,2.8128837932315136,1
ZTF19aadnxog,10.802855754629583,1
ZTF19aadyppr,-8.216987224660997,-1
ZTF18adbacau,15.438598805905848,1
ZTF19aadooun,-0.0003916416092408781,-1
ZTF19aaeoqst,8.018547658613038,1
ZTF19aafljiq,13.130467547104928,1
ZTF19aagmsrr,-5.678043731622964,-1
ZTF19aailepg,9.146626110095667,1
ZTF19aakirwj,7.156936516857023,1
ZTF19aailqli,14.301019405837216,1
ZTF19aakiyly,10.178996944662856,1
ZTF19aamowaf,14.511875367440496,1
ZTF19aajxwnz,-37.65000778425901,-1
ZTF19aailltc,19.852772693664328,1
ZTF19aakiwxx,12.438556741138555,1
ZTF19aakiyed,11.252513748349422,1
ZTF19aaksxgp,10.805017675443999,1
ZTF19aakpcuw,11.499807202036116,1
ZTF19aaknate,6.383027348199072,1
ZTF19aaksrgj,9.234839910909848,1
ZTF19aalcyfd,11.30184155353286,1
ZTF19aaleptm,13.726650376730063,1
ZTF19aaloqmd,18.89724139299365,1
ZTF19aafmyow,11.19908320865408,1
ZTF19aakzwao,6.86873685201946,1
ZTF19aalzmmt,14.536160832078245,1
ZTF19aalouag,16.63993920693361,1
ZTF19aalsnbp,12.484830020981278,1
ZTF19aalzmio,12.953332369283771,1
ZTF19aamhmsx,18.010265403881057,1
ZTF19aamjvie,15.241860972494528,1
ZTF19aamfxby,16.393154492091554,1
ZTF19aamgghn,15.929166676982199,1
ZTF19aamhhyo,7.493702391601602,1
ZTF19aamhhae,15.427161659995654,1
ZTF19aamhhey,11.109252583703778,1
ZTF19aamhhgu,8.49372081533869,1
ZTF19aamkmxv,9.522070590680592,1
ZTF19aamljom,16.205258213750433,1
ZTF19aamqlyl,9.654649080066946,1
ZTF19aamhgwm,20.138520927199373,1
ZTF19aanbfaw,10.51794124776913,1
ZTF19aamsetj,8.373259326043602,1
ZTF19aamqebl,11.380495543439785,1
ZTF19aamhqej,-11.976158959633523,-1
ZTF19aamvmer,13.906115422635104,1
ZTF19aanejfr,14.95705541215193,1
ZTF19aanlekq,17.61881397141243,1
ZTF19aamvape,16.15178813263325,1
ZTF19aanfukh,14.375402716029363,1
ZTF19aanfyey,15.067415263325337,1
ZTF19aanhhal,14.226392081096598,1
ZTF19aanijpu,18.88800493980102,1
ZTF19aangier,13.201014317907429,1
ZTF19aanhlzi,15.611478001899712,1
ZTF19aaniore,15.135469751812508,1
ZTF19aanhgqg,0.8924263130764132,1
ZTF19aamrais,16.107365484804497,1
