ztf_id,ae_mse
ZTF19aakzwao,0.33074093
ZTF19aalzmmt,0.16946055
ZTF19aalouag,0.24426638
ZTF19aalsnbp,0.41966107
ZTF19aalzmio,0.091307946
ZTF19aamhmsx,0.15016912
ZTF19aamjvie,0.36648655
ZTF19aamfxby,0.35775197
ZTF19aamgghn,0.23747015
ZTF19aamhhyo,0.5802745
ZTF19aamhhae,0.058347084
ZTF19aamhhey,0.11264257
ZTF19aamhhgu,0.20504317
ZTF19aamkmxv,0.35287747
ZTF19aamljom,0.24498248
ZTF19aamqlyl,0.24935241
ZTF19aamhgwm,0.22047187
ZTF19aanbfaw,0.103237934
ZTF19aamsetj,0.21243945
ZTF19aamqebl,0.36303753
ZTF19aamhqej,1.2441576
ZTF19aamvmer,0.35592836
ZTF19aanejfr,0.26934442
ZTF19aanlekq,0.24812828
ZTF19aamvape,0.31841993
ZTF19aanfukh,0.17927733
ZTF19aanfyey,0.12981339
ZTF19aanhhal,0.29658088
ZTF19aanijpu,0.1901443
ZTF19aangier,0.144343
ZTF19aanhlzi,0.1678939
ZTF19aaniore,0.29505304
ZTF19aanhgqg,0.18112174
ZTF19aamrais,0.19187659
ZTF19aalbrgu,0.29167357
ZTF19aaniqrr,0.38591126
ZTF19aanmdsr,0.35087287
ZTF19aanirdx,0.33571336
ZTF19aanircs,0.12668662
ZTF19aanovps,0.25922254
ZTF19aanmeyw,0.44592217
ZTF18accngxc,0.66910434
ZTF19aanesxt,0.27333307
ZTF19aanrrqu,0.16189605
ZTF19aanramr,0.31783795
ZTF19aaneugz,0.17373848
ZTF19aanpcep,0.15267317
ZTF19aansyyn,0.14591801
ZTF19aaomkvl,0.28617695
ZTF19aanuhox,0.08619235
ZTF19aanxgrz,0.77450854
ZTF19aaokist,0.17107388
ZTF19aanuuen,0.12397783
ZTF19aanxosu,0.15029325
ZTF19aapfnym,0.3733262
ZTF19aapafit,0.29775098
ZTF19aaoyjoz,0.28895184
ZTF19aaoyech,0.11919535
ZTF19aaozpew,0.27018353
ZTF19aaozplq,0.10751423
ZTF19aapadxs,0.27857807
ZTF19aaqtyku,0.27002773
ZTF19aapafqd,0.4888669
ZTF19aapbfot,0.1862306
ZTF19aapbgmp,0.14380382
ZTF19aaphmto,0.29881862
ZTF19aapeime,0.6369698
ZTF19aaozsuh,0.21038786
ZTF19aarfyvc,0.088187076
ZTF19aapszzy,0.25331017
ZTF19aapnzde,0.26643232
ZTF19aapocyd,0.15475959
ZTF19aaoxvfe,0.25339139
ZTF19aaputrv,0.27536055
ZTF19aaqdkrm,0.19795242
ZTF19aardunx,0.14950377
ZTF19aaqxosb,0.4123784
ZTF19aaraxhh,0.40557194
ZTF19aarfksi,0.11824166
ZTF19aariwpf,0.4864794
ZTF19aawsdlq,0.5957327
ZTF19aaqxcfs,0.116921976
ZTF19aarifvr,0.35821092
ZTF19aarhxgn,0.3157849
ZTF19aarfkch,0.14224626
ZTF19aarlefl,0.18990196
ZTF19aapzbjr,0.20566572
ZTF19aarixue,0.14468622
ZTF19aarprog,0.40077725
ZTF19aarmznp,0.20680107
ZTF19aartuev,0.38428202
ZTF19aartuli,0.40537536
ZTF19aariwfe,1.3698844
ZTF19aasekcx,0.51564324
ZTF19aatlqdf,0.25106648
ZTF19aatesgp,0.36794385
ZTF19aatlmbo,0.94205785
ZTF19aatgxjy,0.21113096
ZTF19aatgwhs,0.22558524
ZTF19aatheus,0.42391613
ZTF19aatgrpm,0.616683
ZTF19aasmkhn,0.21080685
ZTF19aathllr,0.12673146
ZTF19aarphwc,0.20834589
ZTF18aaxokeg,0.108616
ZTF19aatgznl,0.13107139
ZTF18aaqkdwu,0.30058098
ZTF19aatqzim,0.27352524
ZTF19aatgrxl,0.3486915
ZTF19aatgrxv,0.17167974
ZTF19aathcvn,0.11190739
ZTF19aauaaxi,0.18814512
ZTF19aaugoig,0.14308955
ZTF19aauguzk,0.20688714
ZTF19aauishy,0.566533
ZTF19aauisdr,0.1823225
ZTF19aaugaam,0.35507128
ZTF19aauitks,0.08613997
ZTF19aaujiwc,0.10092757
ZTF19aaupkev,0.15323085
ZTF19aaulzvc,0.20013566
ZTF19aauivtj,0.23393227
ZTF19aaurxsa,0.12881559
ZTF18aaqkcso,0.53838915
ZTF19aauplxw,0.2934109
ZTF19aaupkrl,0.39776084
ZTF19aauhhjy,0.17361498
ZTF18aaxeoqk,0.20567365
ZTF19aaurhox,0.16260314
ZTF19aaumvig,0.16269669
ZTF19aaujzqh,0.20677067
ZTF19aaurstb,0.14261752
ZTF19aauqwna,0.1743847
ZTF19aauxxgk,0.24426703
ZTF19aavbjfp,0.256863
ZTF19aavkptg,0.48403224
ZTF19aavbkly,0.31300113
ZTF19aavkhuy,0.08674933
ZTF19aavhblr,0.28054637
ZTF19aauxmqj,0.19439216
ZTF19aavissk,0.091003485
ZTF19aavidqf,0.1822531
ZTF19aavivbl,0.105859354
ZTF19aavhypb,0.4576251
ZTF19aavmgtv,0.19909568
ZTF19aavhxby,0.2596563
ZTF19aavhzsc,0.25354645
ZTF19aavoweu,0.26068965
ZTF19aavnwxf,0.10073404
ZTF19aavnxwj,0.10717495
ZTF19aawwlxc,0.15145586
ZTF19aavjlkx,0.13363309
ZTF19aavmlqh,0.12867838
ZTF19aavounq,0.077181295
ZTF19aawfcgp,0.21232076
ZTF19aavouyw,0.19819468
ZTF19aavoiyc,0.10596593
ZTF19aavnwyt,0.13988782
ZTF19aavrswr,0.05186123
ZTF19aawrumx,0.1226043
ZTF18aarlukc,0.38944098
ZTF19aavxpbx,0.29801157
ZTF19aawgfnn,0.10672632
ZTF19aavsyhq,0.112467974
ZTF19aavsahh,0.16219746
ZTF19aawfbtg,0.17835575
ZTF19aavitlq,0.17523904
ZTF19aawgxdn,0.94269556
ZTF19aawafvn,0.1640134
ZTF19aaxhysx,0.39826202
ZTF19aawmqtd,0.13996464
ZTF19aavjukt,0.3404353
ZTF19aawmkja,0.25736874
ZTF19aawnqoj,0.09761395
ZTF19aawqcgy,0.26363656
ZTF19aavvozj,0.101801395
ZTF19aawqckx,0.24874295
ZTF19aaxqsbn,0.20105089
ZTF19aaxffum,0.18537803
ZTF19aaxfcpq,0.13554011
ZTF19aaxfzao,0.46635878
ZTF19aawyepw,0.07640576
ZTF18aanygjk,0.13568988
ZTF19aaxibby,0.11899639
ZTF19aaxibpz,0.16678625
ZTF19aaxyukr,0.31859016
ZTF19aayabqe,0.1535919
ZTF19aayfaum,0.41518676
ZTF19aayqait,0.20659894
ZTF19aaycomi,0.24721383
ZTF19aayslow,0.14580251
ZTF19aayejww,0.34437612
ZTF19aaxzdtw,0.2017886
ZTF19aavjzrz,0.38271186
ZTF19aayogzn,0.09297061
ZTF19aayrosj,0.20993978
ZTF19aaypehm,0.10436396
ZTF19aayveer,0.1428934
ZTF19aazdcmj,0.2324582
ZTF19aayvylv,0.20328976
ZTF19aazfvhh,0.3014522
ZTF19aaywlmi,0.063942425
ZTF19aazuqyt,0.23890638
ZTF19aazlsfj,0.123963825
ZTF19aazwnwy,0.13071622
ZTF19aayjqpa,0.30568627
ZTF19aazyvub,0.3563267
ZTF19aazxcvl,0.17083012
ZTF19aazzpje,0.15613103
ZTF19aazudta,0.17821534
ZTF19abadskf,0.12859751
ZTF19abahvdh,0.08220327
ZTF19ababigc,0.2795788
ZTF19abattvp,0.19418578
