ztf_id,n_total,n_g,n_r,span,max_gap,median_gap,mag_range,frac_imputed
ZTF21acipofv,13,6,7,28.994259300176054,8.932974599767476,1.936313649872318,1.0156439999999982,0.0
ZTF19acdgwhq,24,10,14,55.896145899780095,10.956122700124979,1.991249999962747,2.346373,0.0
ZTF18aaqqoqs,9,3,6,22.062789299990982,6.037071799859405,2.9782986000645906,0.7537270000000014,0.0
ZTF18aaqkoyr,12,5,7,37.998217599932104,11.941018499899656,2.997233800124377,1.8004309999999997,0.0
ZTF18aarmnnd,15,11,4,33.89817120041698,7.024201400112361,1.9807580499909818,1.9770640000000022,0.0
ZTF18aasdted,66,33,33,160.80192130012438,40.01503469981253,2.8973611001856625,4.297547999999999,0.0
ZTF18aaumeys,26,10,16,80.87539349962026,15.934895799960941,2.958819499704987,3.0906020000000005,0.0
ZTF18aaunfqq,15,5,10,26.9751388002187,3.0629283003509045,2.9017303499858826,1.3466470000000008,0.0
ZTF18aasxvsg,19,6,13,39.03093749983236,8.04847229970619,1.925897000124678,1.9580699999999993,0.0
ZTF18aaqcqvr,10,3,7,25.04474540008232,6.951840199995786,2.9826620002277195,1.9231999999999978,0.0
ZTF18aavrzxp,12,5,7,25.041550899855793,5.981805500108749,2.9434489998966455,1.5960300000000025,0.0
ZTF18aavqdyq,32,12,20,115.73804400023073,21.789814800024033,2.9989004996605217,2.287917,0.0
ZTF18aavrwhu,20,8,12,53.04510410036892,14.039618000388145,2.940960600040853,2.3199960000000033,0.0
ZTF18aawjywv,14,5,9,26.995370300021023,5.8745602001436055,2.939953699707985,1.232676999999999,0.0
ZTF18aaxcntm,32,14,18,101.94767360016704,14.989930500276387,2.975069399923086,3.3754900000000028,0.0
ZTF18aawyjjq,51,14,37,108.82571760006249,17.878194500226527,1.4513020999729633,1.5419100000000014,0.0
ZTF18aaxdrjn,34,13,21,43.02238419977948,6.0209605996496975,0.021747699938714504,2.4163770000000007,0.0
ZTF18aaxiuyp,15,5,10,44.85111110005528,14.94165510032326,2.938292850041762,1.7137290000000007,0.0
ZTF18aaxsioa,41,18,23,95.94071759982035,7.879409800283611,2.9323090000543743,3.533963,0.0
ZTF18aayjvve,24,9,15,76.90377310011536,9.970636599697173,3.0043055000714958,2.8827149999999975,0.0
ZTF18aayjyub,32,9,23,71.92434029979631,13.951805599965155,0.9940741001628339,2.1161080000000005,0.0
ZTF18aaxvpsw,17,8,9,29.95613420009613,3.016180600039661,2.938975650118664,1.144358999999998,0.0
ZTF18aamzgzi,11,7,4,28.974884199909866,8.959733800031245,2.5233333001378924,1.7624380000000013,0.0
ZTF18aatlfus,13,3,10,26.914201399777085,3.0508681000210345,2.9419848998077214,1.0893969999999982,0.0
ZTF18aaykjei,35,8,27,95.84944439958781,8.98569449968636,2.9816724499687552,2.1774280000000026,0.0
ZTF18aaxwjmp,28,9,19,45.89146990003064,6.029803200159222,1.1445948998443782,1.1982689999999998,0.0
ZTF18aaydmkh,15,5,10,35.89162029977888,7.998229099903256,2.9105728999711573,1.0455259999999988,0.0
ZTF19aanbojt,31,20,11,45.84439820004627,5.014317200053483,0.04053819994442165,2.5632649999999977,0.0
ZTF18aaytovs,25,10,15,83.85399310011417,14.98842589976266,2.973356500035152,1.713037,0.0
ZTF18aazblzy,11,5,6,52.937916699796915,31.96722219977528,2.9327025001402944,2.2634040000000013,0.0
ZTF18aazixbw,17,7,10,55.929733800236136,10.997997699771076,2.9605845001060516,2.0183980000000012,0.0
ZTF18aazjztm,15,6,9,32.91762730013579,7.889849499799311,2.9009028000291437,1.154990999999999,0.0
ZTF18aazsabq,24,8,16,63.96230320027098,8.888286999892443,2.988449100404978,2.215339,0.0
ZTF18aaxmhvk,9,3,6,64.87734959973022,52.83268520003185,2.9334896001964808,1.9456160000000011,0.0
ZTF18aaxkjmm,21,5,16,71.89046300016344,12.895763900130987,2.9882406999822706,2.3379900000000013,0.0
ZTF18abauprj,49,20,29,105.96104170009494,7.879409800283611,2.920572850154713,3.9627849999999984,0.0
ZTF18abaxlpi,16,7,9,56.00490739988163,20.0914352000691,2.9843286997638643,1.9692580000000035,0.0
ZTF18abbpeqo,35,7,28,84.87747689988464,11.97915509995073,2.0221238997764885,2.193804,0.0
ZTF18abbvsiv,13,6,7,64.99954860005528,17.90983790019527,3.1007870498578995,2.185005999999998,0.0
ZTF18abcrtnq,9,4,5,14.992210699710995,3.0214120000600815,2.93137155007571,0.7798780000000001,0.0
ZTF18abcdzyc,13,6,7,152.24903939990327,115.2557639000006,2.9660069500096142,1.841714999999997,0.0
ZTF18abckujg,18,4,14,55.90097220009193,8.93636570032686,3.0071296002715826,2.207263000000001,0.0
ZTF18abckutn,32,11,21,90.87925919983536,8.00240739993751,2.985092599876225,1.6071819999999981,0.0
ZTF18abclfee,32,9,23,55.81106479978189,8.935891200322658,2.051747700199485,2.189924999999999,0.0
ZTF18abcecfi,10,4,6,46.93468749988824,24.86409719986841,2.955601899884641,1.3443160000000027,0.0
ZTF18abcezmh,18,6,12,45.851446699816734,13.049745399970561,2.838495399802923,1.4739119999999986,0.0
ZTF18abcsgvj,15,8,7,35.87450239993632,6.082326399628073,2.8866146001964808,2.416392000000002,0.0
ZTF18abceakp,16,9,7,18.01552079990506,5.992615699768066,0.04465269995853305,0.9343269999999997,0.0
ZTF18abcpmwh,23,7,16,211.3130902000703,95.31932880030945,3.9972106001805514,3.4475039999999986,0.0
ZTF18abcptmt,33,9,24,94.84653940005228,6.064166700001806,2.9370370500255376,2.025607000000001,0.0
ZTF18abcrxoj,27,9,18,75.8643403002061,14.996249999850988,2.951903900131583,2.7557220000000022,0.0
ZTF18abcvush,14,4,10,39.866284700110555,6.869247700087726,3.000787100289017,1.1413249999999984,0.0
ZTF18abcflnz,27,9,18,97.81430559977889,9.056770900264382,3.0039178498554975,3.4216559999999987,0.0
ZTF18abdfazk,13,5,8,49.994455999694765,13.95621530013159,3.0382060499396175,1.6623540000000006,0.0
ZTF18abdfwur,35,15,20,48.92987270001322,3.976006899960339,0.9960647998377681,2.1141289999999984,0.0
ZTF18abdefet,14,5,9,42.99112269980833,8.973784700036049,2.9606596999801695,1.6010760000000026,0.0
ZTF18abdffeo,10,4,6,39.93380790017545,22.96960650011897,2.971006900072098,1.5729129999999998,0.0
ZTF18abdbuty,15,8,7,39.96189819974825,7.998229099903256,2.880098400171846,2.268759999999997,0.0
ZTF18abcysdx,9,4,5,38.98841439979151,17.800381899811327,4.411909749964252,0.9516410000000022,0.0
ZTF18abdbysy,29,7,22,81.96202549990267,8.015405099838972,2.9857985998969525,2.340845999999999,0.0
ZTF18abdiwpt,35,14,21,67.81946759996936,7.955428299959749,0.970833299914375,2.184929999999998,0.0
ZTF18abdkimx,22,10,12,47.04048610012978,5.876076400279999,2.888507000170648,1.9447030000000005,0.0
ZTF18abdrmin,15,7,8,61.92197920009494,14.981828700285405,3.468391150003299,2.399872000000002,0.0
ZTF18abdrbqp,9,5,4,44.00666669989005,11.919618099927902,3.99930559983477,0.8421839999999996,0.0
ZTF18abecbks,27,12,15,75.85306710004807,8.924618100281805,2.945410900050774,2.542075999999998,0.0
ZTF18abcfdzu,77,25,52,342.07900469982997,60.4032753999345,1.0169328500051051,2.1599000000000004,0.0
ZTF18aansqun,15,4,11,40.96268510026857,10.955104100052267,2.9684317000210285,1.106110000000001,0.0
ZTF18abeajml,51,18,33,76.9065161999315,12.925254600122571,0.06626160023733974,2.6109139999999975,0.0
