ztf_id,label,redshift,dq_total_points,dq_g_frac,dq_r_frac,dq_span,dq_max_gap,dq_frac_imputed,dq_log_n,dq_sampling_density,g_peak,g_duration,g_nobs,g_wmean,g_rise,g_time_to_peak,g_fall,g_stability,g_skew,g_kurt,g_asymmetry,r_peak,r_duration,r_nobs,r_wmean,r_rise,r_time_to_peak,r_fall,r_stability,r_skew,r_kurt,r_asymmetry,peak_color,duration_ratio,abs_mag_g
ZTF19acdgwhq,SN Ia,0.02859,24,0.4166666666666667,0.5833333333333334,55.896145899780095,10.956122700124979,0.0,1.380211241711606,0.42936770708719685,18.238953,19.825555599760264,10,18.687926,24.293936304284454,3.9074189998209476,-18.979400500121645,0.18158222222222284,0.4771919462905279,-0.9056236492118921,0.2454696236138496,17.756826,55.896145899780095,14,18.522506,31.838882474852927,21.935983799863607,-16.379691918495265,0.293742615384615,0.9983638181869137,0.6489754756719304,0.6459328355184014,0.4821269999999984,0.35468555623328335,-17.202233850316976
ZTF18aavqdyq,SN II,0.026,32,0.375,0.625,115.73804400023073,21.789814800024033,0.0,1.505149978319906,0.27648644208931167,19.748337,109.74920139973983,12,20.356304166666664,0.9399737561734615,54.80515050003305,-1.5963097220157203,0.20342636363636368,0.46496247555374537,-0.7441059602381772,0.9974719665296017,18.751883,115.73804400023073,20,19.165757399999997,2.5339811283660545,70.88255790015683,-4.079261915180547,0.14010473684210467,0.17809863890406824,-1.2141459358595668,1.5802427765918257,0.996454,0.9482551942861678,-15.486645813381124
ZTF18aaxcntm,SN Ia,0.02679,32,0.4375,0.5625,101.94767360016704,14.989930500276387,0.0,1.505149978319906,0.313886515208794,16.961105,101.94767360016704,14,18.91652807142857,64.06750217145819,14.982951400335878,-17.935878228386137,0.32434400000000024,-0.36488463876966604,-1.4434953647335231,0.17228769346157893,16.848843,95.78184020007029,18,18.408205111111112,129.6439619975717,8.920983700081706,-20.035584499134917,0.26290864705882366,0.0025387726457831053,-1.182525705072697,0.10270430271526138,0.1122620000000012,1.0643737203964496,-18.338874641568072
ZTF18aawyjjq,SN II,0.04,51,0.27450980392156865,0.7254901960784313,108.82571760006249,17.878194500226527,0.0,1.7075701760979363,0.46863922540282626,18.67445,34.90674770018086,14,19.11762628571429,20.66114941654841,3.0631597000174224,-8.073317192096027,0.1536652307692306,1.364382717765356,1.2805334692850137,0.0961939245037871,18.74385,105.83298610011116,37,19.277245999999995,4.111728011893229,11.999930600170046,-2.393482575621264,0.0951177222222219,0.3112522701357877,-1.271585410521355,0.12788596232142924,-0.06939999999999813,0.3298286194737181,-17.49596603016684
ZTF18aaxdrjn,SN Ia,0.0339,34,0.38235294117647056,0.6176470588235294,43.02238419977948,6.0209605996496975,0.0,1.5314789170422551,0.7902862807908789,16.928713,31.00430559972301,13,17.83070930769231,88.25509190478932,6.996724599972367,-62.88226416983698,0.2586800000000003,0.6650206995387489,-1.019112452485241,0.2914381336480772,17.034039,43.02238419977948,21,17.742447238095238,111.45605445363148,10.000960600096732,-38.247491253113125,0.18416760000000015,0.43784068462898373,-0.3089311331056148,0.30286279360144897,-0.10532600000000159,0.7206552164973211,-18.882401564542445
ZTF18aaxsioa,SN Ia,0.03,41,0.43902439024390244,0.5609756097560976,95.94071759982035,7.879409800283611,0.0,1.6127838567197355,0.42734723093291493,16.848797,95.94071759982035,18,18.862622499999997,139.18674416673585,11.999548600055277,-20.78385287034996,0.3726002941176469,-0.4079774377046063,-1.426538642259761,0.14295188812641937,16.853004,92.85092590004206,23,18.450779956521735,110.08242644980257,14.97741900011897,-22.17338194522642,0.27137640909090927,-0.07290353109570608,-1.4415321920648987,0.19233009525777198,-0.004206999999997407,1.0332769077941621,-18.69692534712534
ZTF18aayjvve,SN Ia,0.04727,24,0.375,0.625,76.90377310011536,9.970636599697173,0.0,1.380211241711606,0.31207831595929847,17.695168,69.89902770007029,9,18.983108333333334,63.88917277987721,11.957129599992186,-13.303001892432455,0.6808065000000001,0.4212668619990604,-1.5191572752105702,0.20636413359016395,17.590485,73.90653929999098,15,18.77516486666667,49.55838208171238,15.012708299793303,-13.767328091636235,0.3288164285714283,-0.04941493646665979,-1.5671193929407174,0.25491138961129756,0.10468299999999786,0.9457759538211638,-18.837876085041596
ZTF18aayjyub,SN Ia,0.03,32,0.28125,0.71875,71.92434029979631,13.951805599965155,0.0,1.505149978319906,0.4449119709213464,17.20425,27.000740699935704,9,17.837720999999995,110.60420373358106,8.995972199831158,-30.171446266771724,0.29778587499999976,0.7927870885161054,-0.7284443840082173,0.4996438693326672,17.262241,71.90369219984859,23,18.011315521739128,65.93727016686472,14.994965299963951,-18.58774635951841,0.17980172727272728,0.5129062210254601,-0.9437202354598795,0.26349149096839747,-0.057991000000001236,0.3755125762511617,-18.341472347125343
ZTF18aaykjei,SN Ia-pec,0.097,35,0.22857142857142856,0.7714285714285715,95.84944439958781,8.98569449968636,0.0,1.5440680443502757,0.365156002929846,19.158302,86.93203700007871,8,19.851489125,3.698494085657868,17.916527800261974,-2.3837077524234336,0.27638071428571465,0.31713723593516124,-1.5941750396625576,0.25960147230659786,18.520172,95.84944439958781,27,19.310748444444442,12.705969204663875,21.06358789978549,-4.032601304714856,0.14352157692307715,0.05758469196858138,-1.048450446930238,0.28165202466914535,0.6381300000000003,0.9069644330713779,-18.93567274485826
ZTF18aaxwjmp,SN Ia,0.08,28,0.32142857142857145,0.6785714285714286,45.89146990003064,6.029803200159222,0.0,1.4471580313422192,0.6101351745976936,18.689339,23.83363420004025,9,18.993438666666666,12.492655523799268,11.83672450017184,-14.270264120463342,0.22717374999999906,0.4879596314088962,-1.464099473470432,0.9866477948318367,18.714363,45.89146990003064,19,19.205653315789473,17.93333623384904,11.880277799908072,-6.34711795692216,0.1718734444444444,0.33496533569606757,-1.227011561726664,0.3493049512917619,-0.02502399999999838,0.5193478058549686,-18.986227008486747
